Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
SF,33,5.7,12.7,0.45,1.9,5,0.375,1.8,2.3,0.767
SF,16.9,2.3,5.3,0.427,0.8,2.3,0.33,1.2,1.7,0.72
SF,17.5,2.4,5.6,0.422,0.8,2.5,0.33,1.2,1.8,0.708
SF,14,1.9,4,0.464,0.4,1.3,0.333,1.1,1.4,0.8
SF,23,1.3,3.7,0.346,0.6,2.2,0.286,0.4,0.5,0.9
C,22.2,4.4,9.1,0.48,1.4,4,0.351,1.3,1.8,0.747
SF-SG,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,2.2,0.769
SF,25.8,2.6,7.6,0.347,1.3,4,0.327,1.3,1.7,0.806
SG,23.1,3.5,8.3,0.418,1.1,2.9,0.384,2.2,3,0.733
PF,18.5,2,5.2,0.394,0.8,2.3,0.348,0.7,1,0.694
SG,36,10.4,22.9,0.455,3,8.4,0.353,6.8,8,0.842
SG,22,4.1,9.7,0.425,1.9,5,0.388,1,1.2,0.818
SG,18.2,2.9,7.3,0.389,1.4,3.9,0.36,0.8,0.9,0.868
SG,33.1,7.9,16.6,0.472,3.5,8.2,0.426,1.5,2,0.75
SG,15.5,2.2,5.5,0.392,1.2,3.1,0.376,0.8,1,0.828
C-PF,8.8,1.2,2.3,0.522,0.1,0.4,0.333,0.7,1.1,0.613
C,8.7,1.2,2.2,0.533,0.1,0.3,0.222,0.6,1.1,0.586
PF,10.5,1.5,3.5,0.429,1,1.5,0.667,1,1,1
SG,21.3,2.4,5.3,0.456,0.3,1.5,0.231,0.6,1.1,0.542
SF,17.9,2.6,5.8,0.446,0.9,2.7,0.349,0.6,0.9,0.714
SF,13,1.4,3,0.476,0.6,1.3,0.444,0.3,0.4,0.667
SF,21.7,3.4,7.9,0.437,1.2,3.8,0.324,0.9,1.2,0.727
PF,29.3,4.9,11.3,0.434,3.7,8.7,0.424,1.9,2.3,0.852
PG,26.3,2.9,6.7,0.431,1.6,4,0.388,0.6,0.9,0.66
C,19.2,1.5,3,0.51,0,0,0,1.4,2.1,0.653
C,8.7,1.3,2.8,0.467,0.1,0.8,0.19,0.4,0.6,0.727
C,19.4,2.8,5.2,0.543,0,0,,1.7,2.8,0.603
PF,27.9,4.4,9.1,0.481,1.9,4.4,0.419,1,1.2,0.821
PG,27,5.5,11.5,0.475,1.2,3.5,0.344,2.8,3.5,0.79
SG,29,5.5,12.6,0.44,2.7,7.2,0.372,1.4,1.9,0.741
SF,33.1,6.6,14.8,0.447,3,7.3,0.414,4,4.4,0.903
SF,12.4,2,4,0.5,0.6,1.3,0.444,1.1,1.4,0.8
PF,6.7,0.6,1.6,0.364,0,0.6,0,0.3,0.6,0.5
PF,3.5,0.5,0.8,0.667,0,0.3,0,0,0.5,0
PF,11,0.7,2.7,0.25,0,1,0,0.7,0.7,1
C,3,0,0,,0,0,,0,0,
